"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"
"CDC42EP1"	0	0	1.8687420702056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HOOK2"	0	0	7.63703206997793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23885954650906	0	0	0	0	0	0	0	5.02433519482192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.11190559780228	0	0	0	0	0	0
"TMEM54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UGDH"	6.12116111409304	0	0	4.7291649906523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.66076643173523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145886101085148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51000613365915	0	0	0	0	0	0	0	0	3.39990661239263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02176397429166
"TFG"	4.64413950725989	0	0	0	0	0	0	0	0	4.25180239542637	0	7.06601382382291	0	0	0	0	0.664965175102908	0	0	0	0	0	0	0	0	5.31339751547718	0	0	0	0	6.22635380942417	0	0	0	0	0	0	0	0	0	0	4.904684953312	6.09680432214421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.40364453970484	0	0.18472462050188	0	0	0	0	0	0	0
"FLNB"	5.15156742393535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16154107154343	0	0	6.32667971233666	0	0.0778719042226041	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30783650246227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENO1"	7.71316034036877	7.7708633294496	6.83278294703364	2.23857899871801	5.22968597037778	0	0	7.19714620332367	6.79811028010163	0	0	6.77407014533718	6.89098286116878	6.29367506024612	0	6.35275128754002	4.45926241993384	0	0	2.38187306779253	0	0	7.085692438465	0	0	7.0909867719819	3.87234219875846	6.0002596617385	0	4.99707377353802	0	1.12129396345375	5.37215811868582	0	7.30000810294131	0	5.20650101024905	5.62039609117515	0	6.17022412927632	6.24078789830521	1.90481932297476	0	6.8876199444972	3.7465535538485	6.72354286211249	0	0	6.97430582428232	0	6.82528344557251	1.51516239341385	0	0	0	7.65233762864427	7.88677484981778	0	5.85718032598319	0	0	5.34451322800609	6.58955093143318	7.02209611687256	7.39582243145463	6.48552633105293	0	6.90798122139228	0	6.60786319865942	6.14388703604094	6.15311340601041	7.52381809009593	6.33061092263921	0	6.89888394356146	3.80048993513963	3.611643363158	0	0	0	5.85598720646544	6.4217289114209	8.05235904865545	6.22997546039816	1.44350587146386	0.76245087446886	6.24635069755088	0	0	0	0	0	5.1838322593176	5.88914471271781	5.76533370977555	0	6.4107962850446	5.67039792162334	0
"P4HB"	6.14913597825064	0	0	6.64653235800446	6.83147585981853	0	0	0	0	5.70825373974894	6.79333395938869	6.85863043480982	0	6.82960084598691	0	0.440133641598321	0	0	0	7.02238934231688	0	0	0	0	0	0	0	6.22847124769624	0	7.43821831928283	6.28060060558083	0	0	0	7.54285180090848	7.37184484681436	5.84476952714257	7.19098082062335	7.11343953293123	0	0	0	0	0	0	0	0	0	0	0	7.75499416414549	0	0	0	0	0	0	0	0	6.70010883138436	0	7.03817495926524	0	0	8.02116271498228	0	0	0	6.75827945541407	0	0	0	0	0	6.84624469667544	0	0	0	0	0	0	0	8.49435980409461	0	7.18511081514928	0	0	0	0	7.08902201850813	0	0	0	4.50823530829938	0	5.85084716886175	0	0	0	0
"S100A10"	0	0	0	6.76884979635133	0	0	0	0	0	0	6.2334724280772	7.05961182814853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84890681986049	0	0	0	6.79837212938365	7.14347576800781	0	7.05297325263798	6.22364534724843	7.68579770750718	0	0	0	0	7.20626822221583	0	0	0	0	0	0	0	0	8.01943677707782	0	0	0	0	0	4.46285853644914	0	0	6.08691960673733	0	0	0	0	0	0	0	0	6.86650967407196	0	0	0	6.21844970500316	5.31324004616203	0	0	0	0	0	0	0	0	5.58468746076341	0	6.66133831154771	0	5.63245842928141	0	0
"TRIP6"	0	0	0	0	0	0	3.39973712091649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
